,Principal Component 0,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Principal Component 8,Principal Component 9,Principal Component 10,Principal Component 11,Principal Component 12,Principal Component 13,Principal Component 14,Principal Component 15,G1,G2,G3
0,0.5931891358846529,-1.0512289779007702,-0.47254880194476445,1.0273739636179382,1.9986084209187651,0.00019929853749051468,-0.22465446553875792,0.7148987344848825,-1.1249831032808721,-0.2634791152382789,1.0539832503900401,0.080126734716039,-0.5805432245004314,-0.4777584214666287,-0.7739556074791646,0.6542389768481297,0.0,0.0,0.0
1,-1.542529415779086,-0.4464685404153441,2.479372253472902,-0.4218387287868943,-0.2263896997173216,-1.1005682756943789,-0.18909224480266348,-0.6165506305303082,-0.49783406702624233,0.33768095056755065,0.0424819893112124,-0.7117395097521422,-0.02286937784186837,-0.356182309750405,-0.2985694213071732,0.07671090741956388,0.0,0.0,0.0
2,4.511614703507746,0.3939280443463294,1.6737737533334744,-0.6384689348732814,-2.84951334590055,-0.18240960817757937,0.4345170953262926,-0.24045362295623707,0.013258057592906356,1.0927200654936369,-1.1590831635352166,1.0071741188255385,0.045647213703939725,1.1564954290926128,-1.4107208242604092,-0.11165770754283239,1.0,1.0,2.0
3,-3.537371766326739,-2.213295641427484,-0.8774349288996866,-1.686463433081588,-0.5718851833639302,0.9524430696177317,-1.0478353271346939,0.5464279630661882,0.9683487591302599,-0.04562921367843786,-1.057206076552185,0.8598309793441675,-0.18204327364199105,-0.6295522639390727,0.3799347426913648,-0.43582585561040615,3.0,3.0,3.0
4,-1.5033893306747745,-0.894340373750703,-0.6269521015088645,-1.6487752381759313,-0.06555684437892952,0.5587081614019492,0.1035509708647343,-0.23399161466374468,0.14455990043170652,-0.02186071732734949,-0.20149272860650408,-0.8148134313727646,1.327540987716278,0.14348788096033435,-0.029643827360067886,-0.547812514557366,0.0,2.0,2.0
5,4.503541182443671,-1.1360931745169578,-1.5231249620987697,-1.6177372013794504,0.41923681887105424,-0.7139749157401568,0.7143427374031547,-0.9203442922165951,0.5469485205438633,-0.641849799774767,-0.5105718065450964,0.1321298897499132,-0.3004447822961887,0.782716569701138,0.4236792778185334,-0.5871214497641474,3.0,3.0,3.0
6,-5.492320561071043,-0.3062264983826061,0.6146630228728883,0.3066945027279314,-0.4794707735418826,-1.7007185916456045,-0.10161309608216187,0.6010861333246215,-0.35279040151096647,-0.47864692394747915,-0.4047947571690675,-0.74441550506558,0.5852847899045105,-0.7250249996936424,-0.06108448242878551,0.3771170685559057,2.0,2.0,2.0
7,0.6078820042332483,-2.3224304077806255,-0.1476755017712028,2.5950025883615435,0.6019718649236131,0.8434231371077701,-1.0893169123065654,0.11761765166912085,-1.9516872590261338,-0.1752910046958955,0.4642808463072961,0.4093034441305408,0.8358393596670968,-0.8402181457574956,-0.7141632178438112,0.19629563744873507,0.0,0.0,0.0
8,-5.503316883536006,-2.5405647814841514,0.6338827855299981,1.585664048208423,-1.6955087772091781,0.16553930026012367,0.18699604867323644,-0.5223848031382202,-0.3879016826801576,-0.53606894402403,-1.1553439483394226,0.43938694492551,0.09633434085451023,-0.36995325773558674,-0.3523941278854259,-0.5813553874115976,4.0,4.0,4.0
9,-5.5867053922366585,-1.722045443115401,-1.612976340015377,-1.9341644361335129,0.06636370554872985,-1.070668759894341,1.8276319912255188,-0.7842924043194808,0.6913065259191971,-0.09155228039675452,0.015831231633071593,-0.8117105323186319,0.8343252761329479,0.6121346435367344,-0.6008398398145286,-0.5538116544769489,3.0,3.0,3.0
